Customer_ID,Customer_Age,Postal_Code,Income,Address_Change_Flag,VIN_Validated,Policy_Status,Policy_Tenure_Months,Coverage_Type,Deductibles,Has_Multi_Policy,Loyalty_Program_Enrollment,Billing_Method,Payment_Method,Discount_Count,Premium_Change_Percent_Last_Renewal,Late_Payment_Count,Auto_Renew_Enabled,Claims_Count_Lifetime,At_Fault_Accident_Count,Claim_Satisfaction_Score,Interaction_Score,NPS,Complaint_Count,Sentiment_Score,Churned
fe3ffa34-2437-4257-af3c-31741a85a00c,41,14616,147000,0,1,Cancelled,34,Collision,250,0,0,Auto-Pay,Card,3,9.44,0,0,2,2,23,0.3,5,2,-0.58,1
3e572c04-beaf-4e3e-b94f-91e4cb227654,54,62149,101000,0,0,Active,88,Liability,250,1,0,Auto-Pay,ACH,4,6.59,0,0,2,1,59,0.02,1,2,0.28,0
1accf464-981a-489e-8b8e-89f4d1c22364,23,10034,5000,0,1,Active,33,Liability,250,0,0,Manual,ACH,4,10.65,1,0,2,0,63,0.73,7,1,0.2,0
04c3d321-e647-48a8-be26-183ff848f69a,42,19053,91000,0,1,Active,18,Collision,250,0,0,EFT,ACH,0,6.87,3,0,4,0,53,0.39,7,3,-0.44,0
0e52aca9-152a-4db7-83db-0f1a523b696a,29,33974,59000,0,1,Active,90,Comprehensive,250,0,0,Auto-Pay,Card,4,7.38,2,0,1,0,68,0.56,2,1,-0.13,0
6f82bd66-f9aa-44ab-b406-f532648a747d,32,60020,84000,0,1,Cancelled,53,Comprehensive,1000,0,0,EFT,Card,4,21.52,3,0,4,0,58,0.91,6,1,-0.58,1
acc67296-4c09-4352-9835-c7b3f33c2fd7,45,60154,97000,0,1,Active,63,Comprehensive,250,0,0,Auto-Pay,ACH,3,5.68,2,0,2,1,59,0.91,0,3,-0.67,0
5fd54fb8-5ba2-49e6-a0d4-bdae8a2f3841,26,90272,84000,0,1,Active,48,Collision,500,0,0,EFT,ACH,4,8.04,0,0,4,0,67,0.4,0,4,-0.38,0
05e30a16-9a7d-49f4-a2b2-9b46d5379ad2,34,79057,65000,0,1,Cancelled,37,Collision,1000,0,1,Manual,ACH,3,5.41,1,0,0,0,,0.14,9,2,-0.11,1
4ff70883-29da-42ca-ac62-f8c1a9d14c1a,39,18342,132000,0,1,Active,81,Liability,1000,0,0,Manual,Card,3,4.87,3,0,2,0,93,0.33,3,2,0.37,0
fc3444ad-4187-409b-b8bd-bd42fcc93a63,57,32253,158000,0,1,Active,64,Comprehensive,1000,0,0,Auto-Pay,ACH,4,1.4,2,0,0,0,,0.23,9,1,0.39,0
f05b5922-570e-4e15-96b1-28662a5b210e,22,95133,7000,0,1,Active,117,Collision,500,0,1,Manual,Card,4,3.65,3,0,0,0,,0.4,0,4,-0.27,0
fc758f46-1b4a-48fd-bbb6-00fe5d80dea1,19,11505,7000,0,1,Active,110,Liability,1000,0,0,Auto-Pay,Card,4,6.13,3,0,2,0,23,0.65,6,2,0.26,0
7c2a7946-392b-4d26-a556-ec5202d2ea7a,62,32286,45000,0,1,Active,33,Liability,1000,0,0,Manual,Card,4,9.24,0,0,3,2,97,0.2,2,2,0.42,0
4d9e9c1f-1992-4d22-a4c2-71f026668423,40,11775,75000,0,1,Active,61,Liability,250,1,0,EFT,Card,4,4.38,1,0,4,2,30,0.1,5,0,0.66,0
8401f66a-7c24-4323-b035-71ad55d0b0b0,59,78749,138000,1,1,Active,29,Liability,250,0,0,EFT,ACH,3,8.7,3,0,1,0,98,0.65,2,1,0.37,0
a808db17-b597-4196-b057-8211b253882e,59,10464,138000,0,1,Active,66,Collision,250,0,0,Auto-Pay,ACH,4,0,1,0,1,0,55,0.05,3,2,-0.11,0
b71f111b-87c5-4f4c-b682-0a0990282305,43,16354,67000,0,1,Active,15,Comprehensive,1000,0,0,EFT,Card,1,11.01,0,0,3,0,78,0.44,5,4,-0.69,0
3fb6a33d-1636-471b-b302-a624321ce3c2,22,95904,15000,0,0,Active,16,Liability,500,0,0,EFT,Card,0,15.61,2,0,2,1,43,0.35,4,0,0.66,0
4ee06bea-fe61-403f-bead-11114727e9d8,62,78447,58000,1,0,Active,110,Liability,250,1,0,Manual,ACH,4,10.16,3,0,1,0,60,0.68,2,3,-0.43,0
4779b239-03bc-4f93-a4ea-bf0c50fff774,60,14838,29000,0,1,Active,25,Liability,500,0,0,Manual,ACH,2,7.23,0,0,0,0,,0.66,9,3,-0.64,0
68f536e8-6597-4b2b-8481-54e8b5b812d4,46,78298,196000,0,1,Active,104,Liability,500,0,0,EFT,Card,3,10.68,0,0,0,0,,0.73,3,3,-0.55,0
fb24633a-19f3-4fd8-8052-a9924e1e8f75,47,75572,105000,0,1,Active,38,Liability,250,0,0,Manual,Card,4,5.9,3,0,3,0,12,0.96,2,0,0.77,0
b24171a8-473b-4ac2-bf20-9e807dcf1963,53,10829,204000,0,1,Active,101,Liability,250,0,0,Manual,Card,3,10.36,1,0,3,1,54,0.44,6,4,-0.33,0
ff8d7ad0-268c-4a89-8647-ff9a4f751a19,44,61720,106000,0,0,Active,66,Liability,500,0,1,Manual,ACH,4,7.06,3,0,3,0,99,0.24,6,1,-0.1,0
d6657e31-3f92-47e5-9005-f761e31ee39a,27,95439,62000,0,1,Active,33,Comprehensive,1000,0,0,Manual,Card,4,2.18,3,0,3,2,36,0.77,8,1,0.03,0
f2eb6b0e-68a2-46aa-bb4f-79ba2f34b0cc,55,95949,72000,1,1,Active,80,Comprehensive,1000,0,1,Auto-Pay,Card,4,2.25,0,0,0,0,,0.99,4,4,-0.22,0
9832b2c5-b8b7-422d-902e-cdef7bc64484,18,10514,9000,0,1,Active,104,Liability,1000,1,1,EFT,Card,4,0,3,0,1,0,24,0.39,7,4,-0.38,0
8c3754ee-5367-496a-9aca-7726c392c293,26,12125,114000,0,0,Active,69,Liability,250,0,0,EFT,ACH,4,0,1,0,3,1,86,0.42,4,0,0.71,0
6b9e41e6-7c0e-454f-95d7-28e8f074393c,35,94874,195000,0,1,Active,66,Liability,250,1,0,Manual,Card,3,12.95,1,0,1,0,10,0.04,0,0,0.69,0
15fba1b1-c7a8-4182-b7f7-b910159716af,26,60617,115000,0,1,Active,22,Liability,250,0,0,Auto-Pay,ACH,2,5.03,3,0,4,0,50,0.02,9,0,0.98,0
c90d1fac-ef17-4587-b200-bd9e01a99a54,32,75567,162000,0,1,Active,71,Liability,1000,0,0,EFT,Card,4,5.23,1,0,1,0,76,0.59,2,4,-0.43,0
f47ca1bd-21b4-4937-bc5b-309a71f6014c,34,76636,64000,0,1,Active,30,Liability,1000,0,0,Auto-Pay,ACH,3,2.57,3,0,1,0,76,0.34,8,3,-0.76,0
fcf22b3d-86e3-42c9-b2ed-be2ad16a7d6a,49,32258,99000,0,1,Active,81,Liability,250,0,0,Auto-Pay,ACH,4,11.67,0,0,3,0,56,0.55,4,1,0.22,0
5423769d-dad4-4046-9cd4-b0446aacfa6d,60,90047,55000,0,1,Active,34,Liability,1000,0,1,Auto-Pay,ACH,3,3.13,2,0,2,0,81,0.92,9,4,-0.8,0
20876c96-41a6-4fc1-bddf-b8b32d4fa6ba,55,13596,84000,0,0,Active,86,Liability,500,0,0,Manual,Card,3,0.91,2,0,4,1,82,0.09,8,2,0.08,0
adb5f630-69cc-4bc7-b871-4448e0c98f3f,61,95558,33000,0,1,Active,105,Liability,250,0,0,Auto-Pay,Card,3,11.72,0,0,1,0,37,0.33,8,2,0.07,0
89bd386c-8d40-4f20-be9d-7fa06a809576,48,94887,46000,0,0,Active,36,Liability,500,1,1,Auto-Pay,Card,4,0,1,0,5,1,18,0.26,7,4,-0.21,0
41f8984e-0401-4224-b8e0-69d182584bb1,37,16042,108000,0,1,Active,76,Liability,250,1,0,Auto-Pay,Card,4,15.22,2,0,2,0,13,0.93,2,0,0.87,0
05f70d30-c0e2-4af0-97a3-cf43596cf09e,57,91975,88000,0,1,Active,50,Collision,1000,0,0,EFT,ACH,4,13.1,2,0,4,1,11,0.79,0,1,-0.14,0
ae1a27a6-3726-45b8-8f4c-caf4e63b7f71,52,62766,112000,0,0,Cancelled,39,Liability,500,0,0,EFT,ACH,4,16.86,3,0,0,0,,0.16,4,0,0.47,1
b0f1ee33-d3f8-49b6-80d3-0b945bd4344c,56,62156,149000,0,1,Cancelled,82,Liability,500,0,0,Manual,Card,3,11.98,2,0,1,1,57,0.53,4,2,-0.1,1
9740bc7a-bcaa-408b-bc11-a9f2c9245415,56,34222,63000,0,1,Active,97,Collision,1000,0,0,Manual,ACH,4,11.07,3,0,1,1,92,0.57,9,2,0.35,0
3f12d678-cf55-4258-b35c-e5077707dcd5,32,62376,137000,0,1,Cancelled,21,Collision,500,1,0,EFT,ACH,2,10.6,2,0,5,0,62,0.57,9,4,-0.68,1
d0f069a3-00b6-4e7e-ae4f-e25ab3ec942b,43,32846,83000,0,1,Active,40,Collision,500,0,0,Manual,ACH,4,4.44,3,0,5,2,40,0.92,4,4,-0.72,0
3384688e-423f-4b07-9323-e286f5ab8bb9,57,62067,129000,0,1,Active,120,Comprehensive,1000,1,1,EFT,ACH,4,6.63,2,0,3,1,88,0.92,5,0,0.96,0
9cd4f11a-bd51-4c2b-8dea-856d9bc8ac68,28,32635,103000,1,0,Active,114,Liability,500,0,0,EFT,Card,3,4.21,2,0,3,0,84,0.25,8,1,0.13,0
182e122d-093b-4de7-bc3e-18d8086316ee,60,11640,47000,0,1,Active,98,Collision,500,1,0,Manual,ACH,4,2.87,1,0,0,0,,0.09,7,1,-0.19,0
85165f11-feb4-40f4-a394-6f0405896ffa,57,95223,130000,0,1,Active,114,Liability,250,0,0,EFT,ACH,4,0,1,0,2,1,59,0.56,3,2,-0.15,0
d7ab1ddb-14b7-4fee-9cc1-b77fb692e2d9,40,94927,221000,0,1,Active,30,Comprehensive,500,0,0,EFT,ACH,3,0,2,0,2,1,57,0.51,7,3,-0.3,0
18a02c9b-4fc1-48fd-b904-ecb9a650ccf1,63,18817,58000,0,1,Active,33,Collision,250,0,0,EFT,ACH,4,5.72,2,0,1,0,23,0.63,0,2,0.47,0
c625ac4b-dd81-4b15-8037-37e27a76abb2,37,61184,94000,0,1,Active,97,Comprehensive,500,0,0,EFT,ACH,4,9.89,3,0,3,0,30,0.55,1,2,-0.02,0
